id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
69517,-0.839471,4.67716,5,NA,10992.815,NA,NA,NA
69708,0.433394,4.73666,5,NA,3967.943,NA,NA,NA
69862,-0.846186,5,5,12926.591,NA,NA,NA,NA
70056,-0.965411,5,5,NA,NA,NA,NA,1467.716
70311,-0.914068,5,5,12608.805,NA,NA,NA,NA
70416,-0.624534,5,5,NA,8733.609,NA,NA,NA
70609,-0.849297,5,4.75839,NA,14926.623,NA,NA,NA
70906,-2.04923,5,5,NA,5378.054,NA,NA,NA
71122,-0.710842,5,4.95048,NA,14112.227,NA,NA,NA
71283,-0.553034,5,5,NA,6576.397,NA,NA,NA
71490,-0.25914,4.92028,4.13564,NA,3981.8,NA,NA,NA
71733,-0.74451,5,5,NA,12584.027,NA,NA,NA
71973,-0.714289,5,5,NA,11948.023,NA,NA,NA
72187,-0.508699,5,5,2730.359,NA,NA,NA,NA
72391,-1.0555,5,5,NA,4131.303,NA,NA,NA
72595,-1.92702,4.8419,5,NA,6480.851,NA,NA,NA
72676,-0.626517,5,5,NA,8822.367,NA,NA,NA
72848,-0.657664,4.71755,5,NA,10458.36,NA,NA,NA
73078,-1.01362,5,5,NA,6557.256,NA,NA,NA
73350,-0.977997,5,4.74616,NA,9576.874,NA,NA,NA
73579,-1.89875,5,5,NA,4315.079,NA,NA,NA
73764,-1.56613,4.31252,5,NA,5583.108,NA,NA,NA
73947,-0.706455,5,5,NA,11742.588,NA,NA,NA
74018,-1.97923,5,5,NA,5472.12,NA,NA,NA
74337,-0.639705,5,4.95761,NA,10966.237,NA,NA,NA
74495,-0.684728,5,5,NA,11090.877,NA,NA,NA
74676,-1.72028,5,4.22443,NA,1404.074,NA,NA,NA
74814,-1.04062,5,4.94444,NA,6059.748,NA,NA,NA
75093,-0.931752,4.70353,4.8566,NA,13585.539,NA,NA,NA
75243,-0.900238,3.84452,5,NA,3771.088,NA,NA,NA
75456,-0.974403,5,4.77853,NA,10584.602,NA,NA,NA
75694,0.357437,5,5,NA,3419.537,NA,NA,NA
75909,-1.00476,3.77012,5,NA,2615.784,NA,NA,NA
76014,-0.825314,5,5,NA,12961.277,NA,NA,NA
76229,-0.927857,5,5,6200.055,NA,NA,NA,NA
76516,-0.870183,5,5,NA,12304.996,NA,NA,NA
76624,-1.53693,3.33427,5,NA,3498.689,NA,NA,NA
76806,-1.1987,4.11696,5,NA,2077.9,NA,NA,NA
77112,-1.62146,4.48638,4.98801,NA,860.578,NA,NA,NA
77377,-1.92498,4.65273,5,NA,4744.927,NA,NA,NA
77477,-0.572259,4.8692,5,NA,8241.941,NA,NA,NA
77610,-1.97363,4.98621,5,NA,5763.508,NA,NA,NA
77996,-1.95076,5,5,NA,6710.668,NA,NA,NA
78177,-0.659254,4.88124,5,NA,13484.823,NA,NA,NA
78315,-0.693638,5,5,NA,11372.339,NA,NA,NA
78500,-0.917998,5,4.622,NA,6361.072,NA,NA,NA
78740,-0.889855,4.87407,4.57186,NA,4920.844,NA,NA,NA
78925,-0.732857,4.85944,4.74898,13165.315,NA,NA,NA,NA
79087,-0.528451,4.88128,5,NA,5951.362,NA,NA,NA
79269,-0.824905,5,5,11289.117,NA,NA,NA,NA
79424,-0.613462,4.80739,5,NA,14118.405,NA,NA,NA
79783,-0.887394,5,5,NA,11892.909,NA,NA,NA
79891,-0.704865,5,4.8963,NA,15308.499,NA,NA,NA
80000,-0.907336,5,4.73826,NA,16742.063,NA,NA,NA
80346,-0.733844,5,5,8622.745,NA,NA,NA,NA
80468,-0.703552,4.92233,5,NA,14737.649,NA,NA,NA
80775,-1.41525,5,5,5442.384,NA,NA,NA,NA
80848,-1.85175,5,5,NA,3028.768,NA,NA,NA
81063,-2.00894,5,5,NA,5552.861,NA,NA,NA
81311,-0.589327,5,5,NA,7059.424,NA,NA,NA
81433,-0.957561,5,5,NA,9374.199,NA,NA,NA
81638,-1.25918,4.36622,5,NA,4145.8,NA,NA,NA
81924,-1.54448,5,4.98998,6354.458,NA,NA,NA,NA
82080,-1.46723,5,4.99371,5428.834,NA,NA,NA,NA
82294,-0.899702,5,5,NA,11545.869,NA,NA,NA
82466,-2.13583,5,5,NA,4058.52,NA,NA,NA
82723,-0.641935,5,5,NA,9489.084,NA,NA,NA
82951,-0.608991,5,5,NA,8016.206,NA,NA,NA
83152,-1.99334,5,5,NA,5533.394,NA,NA,NA
83385,-0.849512,5,5,NA,12683.596,NA,NA,NA
83474,-0.775158,5,5,NA,12960.66,NA,NA,NA
83706,-0.710714,5,5,NA,15354.787,NA,NA,NA
83920,-1.30279,5,5,4929.963,NA,NA,NA,NA
84001,-0.569519,5,5,NA,6050.472,NA,NA,NA
84367,-0.210732,5,4.22902,NA,4689.824,NA,NA,NA
84457,-0.648211,5,5,NA,12569.708,NA,NA,NA
84615,-0.65761,4.31146,4.333,NA,3788.371,NA,NA,NA
84822,-0.954814,5,5,NA,9495.889,NA,NA,NA
85074,-1.37301,5,4.39653,NA,5181.619,NA,NA,NA
85295,-1.04192,5,4.99737,NA,4998.969,NA,NA,NA
85579,-1.03104,5,5,NA,5574.019,NA,NA,NA
